və	vE
qovur	govur
qoymaqla	goymagla
quruluşları	guruluSlaru
qırıqları	guruglaru
qədimdə	gEdimdE
reaksiyaların	reaSsiyalarun
rəqqas	rEggas
sahibkarlar	sahibTarlar
sahilindən	sahilindEn
salon	salon
seks	seSs
seçə	seCE
sikkələri	siSTElEri
sim	sim
soya	soya
sülhün	silhin
sürətləndirir	sirEtlEndirir
sütunların	situnlarun
sərgidə	sErTidE
sərhədlərində	sErhEdlErindE
sərəncamında	sErEnjamunda
taksi	taSsi
tanklar	tanSlar
tapıntıları	tapuntularu
teatrlarında	teatrlarunda
toplanaraq	toplanarax
tədbirlərdən	tEdbirlErdEn
təfəkkürün	tEfESTirin
unudulmaz	unudulmaz
verilmədi	verilmEdi
xidmətlərinin	xidmEtlErinin
yarımnövü	yarumnEvi
yaxınlaşaraq	yaxunlaSarax
yazma	yazma
yaşıllıq	yaSullux
yetirmişlər	yecirmiSlEr
yetirərək	yecirErES
yiyələnmək	yiyElEnmES
yosunlar	yosunlar
yoxdu	yoxdu
yükünü	yiTini
yığaraq	yuuarax
zalım	zalum
zəiflədi	zEiflEdi
çıxmağı	Cuxmau
çətir	CEtir
öldürə	EldirE
İç	iC
Ştatların	Statlarun
şor	Sor
şüaların	Sialarun
şərtlərlə	SErtlErlE
Əjdər	EZdEr
ədviyyat	Edviyyat
əksəriyyət	ESsEriyyEt
əlamətlərə	ElamEtlErE
əlçatan	ElCatan
ətraflarında	Etraflarunda
Avropanı	avropanu
Baykal	bayTal
Birliyində	birliyindE
Bürosu	birosu
Bəylər	bEylEr
Dağlı	dalu
Dinin	dinin
Egey	eTey
Entoni	entoni
Hazırkı	hazurTu
Kazımovanın	Tazumovanun
Kiran	Tiran
Klubunun	Slubunun
Konfransda	Tonfransda
Life	life
Minlərlə	minlErlE
Miskin	misTin
Məktubda	mEStubda
Oxşar	oxSar
Qrupunun	grupunun
Rəbb	rEbb
Sin	sin
Sind	sind
Sov	sov
Tank	tanS
Tikilinin	tiTilinin
Toxum	toxum
Uca	uja
Valentin	valentin
Yarpaqların	yarpaglarun
adlandırdıqları	adlandurduglaru
adlandırıb	adlandurub
aktrisanın	aStrisanun
altdan	altdan
anılır	anulur
aspirant	aspirant
bahar	bahar
biblioqrafik	bibliografiS
biganə	biTanE
boyanmış	boyanmuS
buludlar	buludlar
buzlaşma	buzlaSma
buzun	buzun
bölünərək	bElinErES
bölüyü	bEliyi
bünövrəsini	binEvrEsini
davamlılığı	davamluluuu
daşımır	daSumur
divarla	divarla
doğurdu	dourdu
dönmək	dEnmES
dövrədə	dEvrEdE
düşərgəyə	diSErTEyE
dəqiqəyə	dEgigEyE
dəyişməsini	dEyiSmEsini
effektlər	effeStlEr
ehtiyatla	ehtiyatla
filmlərinə	filmlErinE
göldə	TEldE
gətirilirdi	TEtirilirdi
hekayələrini	heTayElErini
hekayəni	heTayEni
hesablanmışdır	hesablanmuSdur
hörülmüşdür	hErilmiSdir
iddiasına	iddiasuna
intiqamını	intigamunu
istədiklərini	istEdiSlErini
itirmək	icirmES
izinə	izinE
içərilərinə	iCErilErinE
işarələri	iSarElEri
keçici	TeCiji
kişilərlə	TiSilErlE
konsentrasiyası	Tonsentrasiyasu
konsertdə	TonsertdE
konserv	Tonserv
kralının	Sralunun
körpüdən	TErpidEn
küpə	TipE
küçələrə	TiCElErE
kəsiyində	TEsiyindE
mahiyyətinə	mahiyyEtinE
maqnezium	magnezium
maralı	maralu
marjinal	marZinal
maşınlarının	maSunlarunun
mexanikası	mexaniTasu
mübahisələri	mibahisElEri
müdiridir	midiridir
mühasirəni	mihasirEni
mədəniyyətləri	mEdEniyyEtlEri
mənsubdur	mEnsubdur
namizədlər	namizEdlEr
nələr	nElEr
nəşrinin	nESrinin
olunduğuna	olunduna
onluq	onlux
orqanizminə	organizminE
oyunlarına	oyunlaruna
parklarda	parSlarda
performans	performans
planlaşdırırdı	planlaSdururdu
pozan	pozan
pərəstiş	pErEstiS
qalırdılar	galurdular
qarışması	garuSmasu
qatili	gatili
qeydiyyatı	geydiyyatu
qorxur	gorxur
qrupla	grupla
quldarlıq	guldarlux
quldurları	guldurlaru
qurbanlarının	gurbanlarunun
qurdlar	gurdlar
quruculuq	gurujulux
qızılbaşlar	guzulbaSlar
qığırdaq	guuurdax
respublikasının	respubliTasunun
ruhdan	ruhdan
rəsmin	rEsmin
rəssamlığı	rEssamluuu
sahilboyu	sahilboyu
saraylar	saraylar
sarayını	sarayunu
saxlanmış	saxlanmuS
sağlamlığına	salamluuuna
sektor	seStor
simptomları	simptomlaru
sinifə	sinifE
sonunu	sonunu
sözdür	sEzdir
sülaləsinə	silalEsinE
səhhəti	sEhhEti
səhifələri	sEhifElEri
səhifəsi	sEhifEsi
sələfi	sElEfi
sənədlərə	sEnEdlErE
tabeçiliyində	tabeCiliyindE
tanınırlar	tanunurlar
termodinamik	termodinamiS
ticarətdə	tijarEtdE
tipində	tipindE
torpaqla	torpagla
təmizləyir	tEmizlEyir
təyyarəsini	tEyyarEsini
uclu	ujlu
valideyn	valideyn
veteranı	veceranu
vətənində	vEtEnindE
xanlarının	xanlarunun
xaçı	xaCu
xlorid	xlorid
xütbə	xitbE
xəstəliklərinə	xEstEliSlErinE
yaddaşa	yaddaSa
yanaşırdı	yanaSurdu
yaratdığını	yaratduuunu
yarışmanın	yaruSmanun
yaxşısı	yaxSusu
yerdəyişməsi	yerdEyiSmEsi
yetirmələri	yecirmElEri
yuyulması	yuyulmasu
zavodun	zavodun
Çələbinin	CElEbinin
çirklənmiş	CirSlEnmiS
ümumxalq	imumxalx
üsyanının	isyanunun
üzləşdiyi	izlESdiyi
şəhərsalma	SEhErsalma
şəkilçisindən	SETilCisindEn
şəxsiyyətinin	SExsiyyEtinin
Əski	EsTi
Əzizbəyov	EzizbEyov
əhvalat	Ehvalat
əlavələrin	ElavElErin
ərazisindədir	ErazisindEdir
əsaslar	Esaslar
ətrafları	Etraflaru
Aişə	aSE
Anri	anri
Atmosfer	atmosfer
Axundovun	axundovun
Ağdamda	adamda
Babası	babasu
Bibliya	biblia
Boston	boston
Buranın	buranun
Cavab	javab
Ceykob	jeyTob
Doğum	doum
Döş	dES
Emili	emili
Fil	fil
Fişer	fiSer
Folklor	folSlor
Geologiya	TeoloTia
Gövhər	TEvhEr
Həştərxan	hEStErxan
Jozef	Zozef
Kennedi	Tennedi
Kerol	Terol
Kit	Tit
Konqo	Tongo
Köçəri	TECEri
Mahmudun	mahmudun
Mesopotamiya	mesopotamia
Mina	mina
Müsabiqədə	misabigEdE
Nensinin	nensinin
Növün	nEvin
Qanunverici	ganunveriji
Qoşunları	goSunlaru
Region	reTion
Richard	rijhard
Roden	roden
Sabah	sabah
Sarayda	sarayda
Seriya	seria
Sezarın	sezarun
Sokrat	soSrat
Torpağa	torpa
Türkləri	tirSlEri
Xomeyni	xomeyni
Yavuz	yavuz
Yusifov	yusifov
alkoqol	alTogol
almalı	almalu
anlaşılır	anlaSulur
aparmaqla	aparmagla
araşdırmağa	araSdurma
araşdırılır	araSdurulur
arxivi	arxivi
assistenti	assistenti
atılması	atulmasu
axıra	axura
ayrılma	ayrulma
ayrılmasına	ayrulmasuna
ağaclara	ajlara
ağlını	alunu
bakteriya	baSteria
bağlanıb	balanub
bibər	bibEr
bildirdiyinə	bildirdiyinE
buta	buta
böyüməyə	bEyimEyE
cəmlənmişdir	jEmlEnmiSdir
cənazəsi	jEnazEsi
dairələrinin	darElErinin
dakı	daTu
daşına	daSuna
dedikləri	dediSlEri
divarlarda	divarlarda
doymamış	doymamuS
du	du
dönmə	dEnmE
düşünülən	diSinilEn
düşər	diSEr
düşərgəsinin	diSErTEsinin
dəliyin	dEliyin
edilsin	edilsin
edənlərdən	edEnlErdEn
ellipsvari	ellipsvari
eləmək	elEmES
etməzdən	etmEzdEn
fenomen	fenomen
fürsəti	firsEti
fıstıq	fustux
fərmanları	fErmanlaru
fəsildə	fEsildE
girmiş	TirmiS
göndərən	TEndErEn
görünüşlü	TEriniSli
günəşə	TinESE
hadisəsinin	hadisEsinin
hamiləlik	hamilEliS
hasilat	hasilat
ifaçının	ifaCunun
inandırmağa	inandurma
incəsənətində	injEsEnEtindE
iribuynuzlu	iribuynuzlu
itirməsi	icirmEsi
keçirilməyə	TeCirilmEyE
kişilərdən	TiSilErdEn
komitəsinə	TomitEsinE
kommunizm	Tommunizm
korpusunun	Torpusunun
kosmos	Tosmos
lil	lil
manqan	mangan
materiyanın	materiyanun
metodlarını	metodlarunu
miqyası	migyasu
mirvari	mirvari
mühitdən	mihitdEn
mühərriklər	mihErriSlEr
mümkünlüyünü	mimTinliyini
müəyyənləşdirməyə	miEyyEnlESdirmEyE
məişəti	mEiSEti
mənalarında	mEnalarunda
məntəqələrinə	mEntEgElErinE
məqamı	mEgamu
məsuliyyətini	mEsuliyyEtini
neftlə	neftlE
nümunələrin	nimunElErin
nəqliyyatın	nEgliyyatun
nəğmələr	nEmElEr
ocaqlarında	ojaglarunda
parad	parad
planetlər	planetlEr
populyasiya	populyasia
prosesidir	prosesidir
proseslərini	proseslErini
pərəstişkarları	pErEstiSTarlaru
qabıqlı	gabuglu
qalaktika	galaStiTa
qalmışlar	galmuSlar
qalxa	galxa
qarşıda	garSuda
qarşılamaq	garSulamax
qarşılaşan	garSulaSan
qatılmaq	gatulmax
qocaman	gojaman
qonağı	gonau
qurumlarının	gurumlarunun
qusma	gusma
qızdır	guzdur
rumın	rumun
rüşeym	riSeym
saatları	saatlaru
sarımsaq	sarumsax
satılması	satulmasu
saxlamağı	saxlamau
sivilizasiya	sivilizasia
sümüklər	simiSlEr
tamamlamaq	tamamlamax
terminləri	terminlEri
tikintisinin	tiTintisinin
toqquşmalarda	togguSmalarda
turnirinin	turnirinin
tükləri	tiSlEri
türkcəsində	tirSjEsindE
təmizlənmiş	tEmizlEnmiS
tərsinə	tErsinE
təşkilatlara	tESTilatlara
ulduzdan	ulduzdan
uşağının	uSaunun
va	va
vampirə	vampirE
vasitəsidir	vasitEsidir
vassalı	vassalu
verməkdə	vermESdE
xlor	xlor
yetirilən	yecirilEn
yetirmiş	yecirmiS
yumaq	yumax
zonalar	zonalar
Ülvi	ilvi
çalınır	Calunur
çatmayan	Catmayan
çevirərək	CevirErES
çirkab	CirTab
çoxşaxəli	CoxSaxEli
çətirli	CEtirli
ödəyən	EdEyEn
öldürməyi	EldirmEyi
ölmüşdü	ElmiSdi
ötürülən	EcirilEn
üzləşdi	izlESdi
üzvlüyünə	izvliyinE
üzündəki	izindETi
İnqilabi	ingilabi
İslama	islama
Şakir	SaTir
şairlərindən	SarlErindEn
Əhmədovun	EhmEdovun
ədaləti	EdalEti
əhatələnmiş	EhatElEnmiS
əməyinin	EmEyinin
əsərdən	EsErdEn
Alina	alina
Alyaska	alyasTa
Arxiv	arxiv
Azərnəşr	azErnES3r
Bəkir	bETir
Cavadov	javadov
Ceyson	jeyson
Devis	devis
Feliks	feliSs
Fransisko	fransisTo
Freddi	freddi
Hindu	hindu
Keyn	Teyn
Leya	leya
Marqarita	margarita
Muradın	muradun
Palatası	palatasu
Qalatasaray	galatasaray
Qorqodyan	gorgodyan
Sami	sami
Silsilənin	silsilEnin
Təkamül	tETamil
Təmiz	tEmiz
Xınalıq	xunalux
Xızı	xuzu
Xəzəryanı	xEzEryanu
adlandırılmışdı	adlandurulmuSdu
admiral	admiral
aksiyası	aSsiyasu
alaq	alax
anlamı	anlamu
artırıldı	arturuldu
arıçılıq	aruCulux
avtomobilə	avtomobilE
ağzına	azuna
aşıqlar	aSuglar
bilməyərək	bilmEyErES
birja	birZa
bütünlükdə	bicinliSdE
cütləşmə	jitlESmE
dairələrdə	darElErdE
danışdığı	danuSduuu
dayandırılmışdır	dayandurulmuSdur
deputatları	deputatlaru
dinləyici	dinlEyiji
dizayner	dizayner
dövlətlərdən	dEvlEtlErdEn
dövlətlərini	dEvlEtlErini
effektləri	effeStlEri
elmdir	elmdir
endirir	endirir
etirazını	ecirazunu
evlənib	evlEnib
ezam	ezam
filizləri	filizlEri
fraksiyası	fraSsiyasu
fəlsəfəyə	fElsEfEyE
gedişini	TediSini
gölüdür	TElidir
görkəmini	TErTEmini
göyərçin	TEyErCin
homoseksual	homoseSsual
həşərat	hESErat
icbari	ijbari
ideyanın	ideyanun
internetə	internetE
irəliləyərək	irElilEyErES
istiqamətlərini	istigamEtlErini
komponentlərinin	TomponentlErinin
kontakt	TontaSt
kurqan	Turgan
kurslarında	Turslarunda
köçürülüb	TECirilib
köçürülən	TECirilEn
kərtənkələ	TErtEnTElE
maddəsində	maddEsindE
matəm	matEm
maşınının	maSununun
membran	membran
mexanizmini	mexanizmini
milyonu	milyonu
misirlilər	misirlilEr
mozaika	mozaTa
müqəddimə	migEddimE
müzakirəyə	mizaTirEyE
məqamlar	mEgamlar
mərtəbəyə	mErtEbEyE
məzhəb	mEzhEb
məzəli	mEzEli
namizədliyi	namizEdliyi
nağılı	naulu
operanın	operanun
orqanlara	organlara
portuqal	portugal
proqramlarda	programlarda
proqramlarına	programlaruna
qanadların	ganadlarun
qatın	gatun
qaydasına	gaydasuna
qaynaqlarında	gaynaglarunda
qoyurdular	goyurdular
qoşulma	goSulma
qruplarından	gruplarundan
qurbanlar	gurbanlar
qurtaran	gurtaran
qüdrəti	gidrEti
qüvvələrdən	givvElErdEn
qılıncla	gulunjla
qəzetini	gEzecini
razılığını	razuluuunu
sahədən	sahEdEn
satılırdı	satulurdu
saxlanma	saxlanma
saymaq	saymax
seriyaları	seriyalaru
simvolları	simvollaru
sinfin	sinfin
sonrasında	sonrasunda
söyləyib	sEylEyib
sürmək	sirmES
sütunun	situnun
səliqəli	sEligEli
sənətkarlıqla	sEnEtTarlugla
sətir	sEtir
tacirlərin	tajirlErin
taktika	taStiTa
tapırdı	tapurdu
timsah	timsah
toponimin	toponimin
törədilmiş	tErEdilmiS
tövsiyəsi	tEvsiyEsi
təbəqəyə	tEbEgEyE
tədqiqatlarını	tEdgigatlarunu
təhsillə	tEhsillE
tər	tEr
təzyiqlər	tEzyiglEr
uşaqlarla	uSaglarla
xaotik	xaotiS
xələl	xElEl
xəstələrə	xEstElErE
yanaşmanın	yanaSmanun
yarışlarının	yaruSlarunun
yelkənli	yelTEnli
yerləşdiyinə	yerlESdiyinE
yetişməsində	yeciSmEsindE
yumoristik	yumoristiS
yumurtaları	yumurtalaru
ziyalılarının	ziyalularunun
zor	zor
çatdırmışdır	CatdurmuSdur
çirklənmə	CirSlEnmE
çıxandan	Cuxandan
öldürərək	EldirErES
öyrənilən	EyrEnilEn
İsmail	ismal
İstedadlı	istedadlu
Şirazi	Sirazi
Şəkər	SETEr
şayiələr	SayiElEr
şəkillərdə	SETillErdE
Ət	Et
Aydındır	aydundur
Ayı	ayu
Bismark	bismarS
Bunlarla	bunlarla
Dəvəçi	dEvECi
Fakültə	faTiltE
Federativ	federativ
Fernando	fernando
Halk	halS
Hekayənin	heTayEnin
Hündür	hindir
Hərb	hErb
Kitabxanasında	Titabxanasunda
Kollec	Tollej
Konfederasiya	Tonfederasia
Konya	Tonya
Lee	lee
Livanın	livanun
Liviyanın	liviyanun
Marta	marta
Mikelancelonun	miTelanjelonun
Murtuza	murtuza
Məhəmmədi	mEhEmmEdi
Məmmədquluzadə	mEmmEdguluzadE
Natalya	natalya
Nikola	niTola
Nikolayın	niTolayun
Qəsrin	gEsrin
Royal	royal
Rum	rum
Salahlı	salahlu
Siirtin	siirtin
Stenli	stenli
Surxay	surxay
Səmədov	sEmEdov
Tamamilə	tamamilE
Termin	termin
Təcili	tEjili
Veneranın	veneranun
Xristianlıq	xristianlux
Yük	yiS
Zavodu	zavodu
Züleyxa	zileyxa
adamla	adamla
almasını	almasunu
arid	arid
arzusuna	arzusuna
bacısını	bajusunu
baraban	baraban
bilmədikləri	bilmEdiSlEri
bitərəf	bitErEf
bölük	bEliS
cərgədə	jErTEdE
cərəyanlar	jErEyanlar
cəsarəti	jEsarEti
dalğalı	dalxalu
dayanacaq	dayanajax
dağıntıya	dauntuya
daşqın	daSgun
daşıyırdılar	daSuyurdular
departamenti	departamenti
detallı	detallu
diapazonu	diapazonu
dinlərə	dinlErE
doğrudur	dorudur
dönmüş	dEnmiS
düzülmüşdür	dizilmiSdir
dərəcədən	dErEjEdEn
dəvam	dEvam
dəyişikliklərlə	dEyiSiSliSlErlE
faydası	faydasu
formalara	formalara
fəlakətlər	fElaTEtlEr
gecədə	TejEdE
genişlənmə	TeniSlEnmE
göndərə	TEndErE
göstərməyi	TEstErmEyi
gözlərinin	TEzlErinin
gözəlliyinə	TEzElliyinE
günəşi	TinESi
gəlmirdi	TElmirdi
gəmilərinə	TEmilErinE
hansının	hansunun
hazırlaşan	hazurlaSan
heykəllərin	heyTEllErin
hərflər	hErflEr
irəliləyiş	irElilEyiS
istehlakı	istehlaTu
istifadəçilərə	istifadECilErE
kanalizasiya	Tanalizasia
keyfiyyətə	TeyfiyyEtE
keçmişini	TeCmiSini
koloniyası	Toloniyasu
komediyası	Tomediyasu
kökündə	TETindE
köçkün	TECTin
küləyi	TilEyi
layiqdir	layigdir
lüləli	lilEli
mexanizmləri	mexanizmlEri
minvalla	minvalla
mübarək	mibarES
münaqişənin	minagiSEnin
müsabiqəsi	misabigEsi
məktəblərindən	mEStEblErindEn
mənsubiyyəti	mEnsubiyyEti
mənzili	mEnzili
məqsədlərə	mEgsEdlErE
mərhələlərdə	mErhElElErdE
oksidi	oSsidi
olmağın	olmaun
ortasına	ortasuna
p	pe
peşman	peSman
planında	planunda
populyardır	populyardur
proseslərində	proseslErindE
qalıcı	galuju
qarşılaşırlar	garSulaSurlar
qatarı	gataru
qaytarıldı	gaytaruldu
qayıtmışdı	gayutmuSdu
qaçırlar	gaCurlar
qoyunçuluq	goyunCulux
qr	geer
qurtulmaq	gurtulmax
qurşağından	gurSaundan
qövs	gEvs
qəsəbələri	gEsEbElEri
riskli	risSli
riyaziyyatçısı	riyaziyyatCusu
sairə	sarE
salam	salam
saplaqları	saplaglaru
satdı	satdu
saytın	saytun
sehrbaz	sehrbaz
seminarlar	seminarlar
seriyasına	seriyasuna
sitrus	sitrus
sivil	sivil
siyahılarında	siyahularunda
sualları	suallaru
səfərində	sEfErindE
sərdabə	sErdabE
səthdə	sEthdE
səylərini	sEylErini
səyyar	sEyyar
tamamladıqdan	tamamladugdan
tamaşaçıya	tamaSaCuya
turu	turu
tutumlu	tutumlu
təbəqələrin	tEbEgElErin
tədbiq	tEdbix
təpəsində	tEpEsindE
təqaüdü	tEgaidi
təzahürləri	tEzahirlEri
təzyiqinin	tEzyiginin
təzədən	tEzEdEn
ucalır	ujalur
uyğunlaşdırılmışdır	uyxunlaSdurulmuSdur
uzunluqları	uzunluglaru
vərəqə	vErEgE
xassəli	xassEli
yağda	yada
yaşayanların	yaSayanlarun
yerləşərək	yerlESErES
yoldur	yoldur
yurdlarına	yurdlaruna
yuyucu	yuyuju
ziyarətinə	ziyarEtinE
Çexiyanın	Cexiyanun
çapı	Capu
çavuş	CavuS
çağırmaq	Caurmax
çempionluğu	Cempionlu
ölümündə	ElimindE
örtükləri	ErtiSlEri
ötürmək	EcirmES
özəlliklə	EzElliSlE
İlahiyyat	ilahiyyat
İsanı	isanu
Şabran	Sabran
Şahtaxtı	Sahtaxtu
Şen	Sen
şəhərciyi	SEhErjiyi
əllərinə	EllErinE
əsrinin	Esrinin
ASAN	asan
Beşiktaş	beSiStaS
Bununlada	bununlada
Büdcə	bidjE
Bəni	bEni
CO	jo
Cəbhə	jEbhE
Elşad	elSad
Fransadan	fransadan
Fred	fred
Hadisədən	hadisEdEn
Ketlin	Tetlin
Kirov	Tirov
Konqresinin	Tongresinin
Mani	mani
Medalın	medalun
Musəvi	musEvi
Mühafizəsi	mihafizEsi
Müşfiq	miSfix
Məclisdə	mEjlisdE
Mərdəkan	mErdETan
Nazirinin	nazirinin
Nəzərə	nEzErE
Open	open
Orduya	orduya
Osmanlılara	osmanlulara
Personaj	personaZ
Qalereyası	galereyasu
Qaçağan	gaCan
Qroznı	groznu
Qışı	guSu
Samux	samux
Senatın	senatun
Təhsili	tEhsili
Vüsal	visal
Yolları	yollaru
alandan	alandan
alətinin	alEtinin
alətlərindən	alEtlErindEn
atırdılar	aturdular
avtobuslar	avtobuslar
axınını	axununu
açıqca	aCugja
aşkarlanması	aSTarlanmasu
bakteriyaların	baSteriyalarun
bankları	banSlaru
biridə	biridE
bitirmək	bicirmES
büdcəsinin	bidjEsinin
bəyləri	bEylEri
cəhətlərdən	jEhEtlErdEn
cəmisi	jEmisi
daxildə	daxildE
daşının	daSunun
depressiya	depressia
dilçi	dilCi
diskin	disTin
dişilərin	diSilErin
doktorudur	doStorudur
dramı	dramu
düşsə	diSsE
dəyişdirərək	dEyiSdirErES
elmlərdə	elmlErdE
empirik	empiriS
etdiklərinə	etdiSlErinE
etnoqrafiya	etnografia
fakültənin	faTiltEnin
fazada	fazada
firmaların	firmalarun
formalaşdıran	formalaSduran
futbola	futbola
gimnastika	TimnastiTa
görünmüşdür	TErinmiSdir
gözlü	TEzli
gənclərdən	TEnjlErdEn
hadisədə	hadisEdE
hamamın	hamamun
hamardır	hamardur
havanı	havanu
hazırlanmasını	hazurlanmasunu
hövzələri	hEvzElEri
hücumlarından	hijumlarundan
ideyanı	ideyanu
ikisində	iTisindE
iltihabi	iltihabi
interaktiv	interaStiv
irihəcmli	irihEjmli
istifadəsində	istifadEsindE
keçmişin	TeCmiSin
klublarının	Slublarunun
kollektivin	TolleStivin
konqres	Tongres
kursda	Tursda
küləklərin	TilESlErin
maddəsinin	maddEsinin
mediada	mediada
mehrab	mehrab
mexanizminin	mexanizminin
mi	mi
mitinq	micinx
monarx	monarx
müdafiəsində	midafiEsindE
mühitlə	mihitlE
mülkiyyətində	milTiyyEtindE
məhkəmələr	mEhTEmElEr
məhkəməsinin	mEhTEmEsinin
mənbəyinin	mEnbEyinin
mənzərələri	mEnzErElEri
məqamları	mEgamlaru
mərd	mErd
məxluq	mExlux
məzarlığında	mEzarluuunda
məzmunda	mEzmunda
nitqi	nitgi
niyyət	niyyEt
norması	normasu
odda	odda
olacaqlar	olajaglar
olunana	olunana
ordeninə	ordeninE
orqanlarda	organlarda
paketləri	paTetlEri
pedaqogika	pedagoTiTa
periodik	periodiS
peykləri	peySlEri
peyvənd	peyvEnd
pozulmuş	pozulmuS
qardaşın	gardaSun
qarnizon	garnizon
qayıdandan	gayudandan
qazan	gazan
qazanılan	gazanulan
qorudu	gorudu
qoymur	goymur
qüsl	gisl
qüvvət	givvEt
qəbilənin	gEbilEnin
robot	robot
romalıların	romalularun
rəyinə	rEyinE
sahillərindən	sahillErindEn
sözdə	sEzdE
tammetrajlı	tammetraZlu
tanınmasına	tanunmasuna
terminlər	terminlEr
testi	testi
toyu	toyu
tutmasına	tutmasuna
tutmur	tutmur
təcrübələrini	tEjribElErini
təfsiri	tEfsiri
təkərli	tETErli
təmtəraqlı	tEmtEraglu
təsdiqləndi	tEsdiglEndi
təşəbbüskarı	tESEbbisTaru
uşaqlıqda	uSaglugda
vaqon	vagon
varlıqları	varluglaru
vaxtları	vaxtlaru
vəsaitlər	vEsatlEr
xala	xala
xalqdan	xalgdan
xassəyə	xassEyE
xüsusiyyətlərdən	xisusiyyEtlErdEn
xəta	xEta
xəzinəsinə	xEzinEsinE
yayımlamışdır	yayumlamuSdur
yayır	yayur
zavodlarında	zavodlarunda
zərurət	zErurEt
çarə	CarE
çiçəkləmə	CiCESlEmE
çıxsa	Cuxsa
çəkirdilər	CETirdilEr
ö	E
ölülər	ElilEr
öləndən	ElEndEn
öyrənə	EyrEnE
İblis	iblis
İdris	idris
İsfahan	isfahan
İttifaqları	ittifaglaru
Şahmar	Sahmar
şad	Sad
şücaət	SijaEt
şərqşünas	SErgSinas
şəxslərlə	SExslErlE
əleyhdarları	Eleyhdarlaru
ərik	EriS
əsiri	Esiri
əsən	EsEn
Afinanın	afinanun
Akademiyasını	aTademiyasunu
Amur	amur
Bay	bay
Benqal	bengal
Comics	jomijs
Divarların	divarlarun
Endryu	endryu
Everest	everest
Fyodor	fyodor
Getdikcə	TetdiSjE
Heykəl	heyTEl
Hollivud	hollivud
Janna	Zanna
Journal	Zournal
Klinik	SliniS
Külək	TilES
Leonardonun	leonardonun
Məhəmmədə	mEhEmmEdE
Nova	nova
Oleq	olex
Oliverin	oliverin
Pensilvaniya	pensilvania
Proses	proses
Qorki	gorTi
Qoyun	goyun
Roy	roy
Ruhun	ruhun
Seul	seul
Sistemi	sistemi
Sofi	sofi
Sərçə	sErCE
Torpağı	torpau
Təpə	tEpE
Yerüstü	yeristi
abidəni	abidEni
adasını	adasunu
adlanırlar	adlanurlar
ailələrindən	alElErindEn
akademiyanın	aTademiyanun
albomlarını	albomlarunu
anlamda	anlamda
araba	araba
arasındaki	arasundaTi
atomlarının	atomlarunun
atışmada	atuSmada
axtarırdı	axtarurdu
axtarırlar	axtarurlar
açması	aCmasu
açmışdı	aCmuSdu
bacarırdı	bajarurdu
balı	balu
bayıra	bayura
başlanğıcından	baSlanxujundan
başlayandan	baSlayandan
binadır	binadur
birləşmək	birlESmES
bitmiş	bitmiS
boruları	borularu
bölməyə	bElmEyE
bölüm	bElim
bürosu	birosu
bədənləri	bEdEnlEri
bərkidilir	bErTidilir
dayanaraq	dayanarax
dolur	dolur
düzəltdiyi	dizEltdiyi
dəfnə	dEfnE
dəqiqlik	dEgigliS
dəyərləndirilir	dEyErlEndirilir
ekspertlər	eSspertlEr
ermənilərlə	ermEnilErlE
eşitdiyi	eSitdiyi
fantastika	fantastiTa
folklorunun	folSlorunun
formalaşıb	formalaSub
gənci	TEnji
həllinin	hEllinin
hərəkətverici	hErETEtveriji
həyatları	hEyatlaru
icazəsiz	ijazEsiz
imamın	imamun
inamla	inamla
insanlardır	insanlardur
irsin	irsin
istehsalçıları	istehsalCularu
işləməklə	iSlEmESlE
kampusda	Tampusda
karst	Tarst
kolleksiyasına	TolleSsiyasuna
köçməyə	TECmEyE
kütlələrin	TitlElErin
kəpənək	TEpEnES
l	el
liflər	liflEr
lövhənin	lEvhEnin
makroiqtisadi	maSroigtisadi
maneəsiz	maneEsiz
matçlar	matClar
metodoloji	metodoloZi
millətçilik	millEtCiliS
modelinə	modelinE
musiqiçiləri	musigiCilEri
muzeylər	muzeylEr
möcüzələr	mEjizElEr
möhür	mEhir
müasiri	miasiri
mübahisələrin	mibahisElErin
müəssisələrindən	miEssisElErindEn
mədənin	mEdEnin
məhsula	mEhsula
məktəbli	mEStEbli
məskunlaşır	mEsTunlaSur
normadan	normadan
nöqtəsidir	nEgtEsidir
nəzəriyyəni	nEzEriyyEni
obyektlərə	obyeStlErE
oksidləşdirici	oSsidlESdiriji
ortasından	ortasundan
otu	otu
ovalığının	ovaluuunun
oxvari	oxvari
oynamışlar	oynamuSlar
oyunlara	oyunlara
planlaşdırılmış	planlaSdurulmuS
poemaları	poemalaru
pulunu	pulunu
qalxmaq	galxmax
qanunauyğunluqlarını	ganunauyxunluglarunu
qatdan	gatdan
qayaüstü	gayaisti
qayğısı	gayxusu
qoşulmağa	goSulma
qu	gu
quldurlar	guldurlar
qırılma	gurulma
qədərini	gEdErini
qəlbi	gElbi
qəsəbəsinə	gEsEbEsinE
rənglərlə	rEnTlErlE
rəqabətə	rEgabEtE
soyuducu	soyuduju
strategiyası	strateTiyasu
studiyasının	studiyasunun
səhih	sEhih
sərvətləri	sErvEtlEri
səviyyələrdə	sEviyyElErdE
səylə	sEylE
tapşırığını	tapSuruuunu
terminin	terminin
tikintisini	tiTintisini
toxumaların	toxumalarun
turşuların	turSularun
tutduqları	tutduglaru
təcrübəni	tEjribEni
təhsillərini	tEhsillErini
