je	ye
trenutak	trEnutEk
učitelja	uCitELE
vlastitim	vlastitim
vodeni	vodEni
zabave	zabEvE
zakoni	zakoni
zapadnog	zapEdnog
zaradio	zorEdio
Švedske	SvEtskE
živa	ZivE
Alfred	alfrEd
Britanija	britEniyE
Francusku	francusku
General	gEnErEl
Italiju	itEliyu
Masters	mastErs
Nastao	nastEo
Senat	sEnEt
Slavena	slavEnE
Taylor	taylor
Tony	toni
Type	tipE
Utakmice	utEkmicE
Zenica	zEnicE
britanskih	britEnskih
brodove	brodovE
ciljeve	ciLevE
del	dEl
dotad	dotEd
državom	drZavom
iznenada	iznEnEdE
izvedeni	izvEdEni
izvršni	izvrSni
kameni	kamEni
karcinoma	korcinomE
komercijalni	komErciyElni
kontrakcije	kontrEkciye
kopnu	kopnu
krugovima	krugovimE
manastir	manEstir
medicini	mEdicini
međunarodnog	mEjunorodnog
ministarstva	ministorstvE
napona	naponE
nasilje	nasiLe
odigrali	odigrEli
okolnih	okolnih
okruženje	okruZE5e
osnovano	osnovEno
otvorene	otvorEnE
pobijediti	pobiyediti
pojedinačne	poyedinECnE
postojali	postoyEli
predavanja	prEdEvE5E
preostalih	prEostElih
privlači	privlECi
rak	rak
sekundarni	sEkundorni
sinteze	sintEzE
sredstvima	srEtstvimE
stopu	stopu
studirao	studirEo
tajne	toynE
uključena	ukLuCEnE
ukupna	ukupnE
umjereno	umyerEno
umjetničkih	umyetniCkih
unutrašnja	unutrES5E
unutrašnjim	unutrES5im
virusa	virusE
vjerojatno	vyeroyEtno
zajednicu	zoyednicu
zamijenjen	zamiye5en
zidove	zidovE
zimi	zimi
čim	Cim
ženka	ZENkE
Davida	davidE
Evropa	EvropE
Huston	xuston
Jednom	yednom
Karl	korl
National	nationEl
Osmanlijskog	osmEnliyskog
Postao	postEo
Srednje	srEd5e
akciju	akciyu
arhitektura	orhitEkturE
austrijske	austriyskE
desnom	dEsnom
distribucije	distribuciye
dodijeljena	dodiyeLenE
dvorane	dvorEnE
frontu	frontu
gladi	gladi
glumci	glumci
govorio	govorio
istočni	istoCni
izdat	izdEt
izvještaj	izvyeStoy
jakim	yakim
jača	yaCE
jedinici	yedinici
kamenom	kamEnom
krugova	krugovE
kulturno	kulturno
manjeg	ma5eg
mužjak	muZyEk
nalazile	nalEzilE
napali	napEli
naseljeno	nasELeno
natpisom	natpisom
naučio	nauCio
navedeni	navEdEni
neobično	nEobiCno
nogometna	nogomEtnE
običaj	obiCoy
odjela	odyelE
odlikuje	odlikuye
organe	orgEnE
pišu	piSu
pojedini	poyedini
pokušavao	pokuSEvEo
porodicom	porodicom
predstavljena	prEtstEvlyenE
prihvatili	prihvEtili
prirodnom	prirodnom
publici	publici
redom	rEdom
saveznih	savEznih
sobu	sobu
sprata	spratE
svemira	svEmirE
turskom	turskom
ubijeni	ubiyeni
upotrebljavaju	upotrEbLEvoyu
upravu	uprEvu
uspjelo	uspyelo
vjerovanja	vyerovE5E
vlastitog	vlastitog
vrate	vratE
vršio	vrSio
zadužen	zaduZEn
započeli	zapoCEli
završni	zavrSni
zonu	zonu
španski	Spanski
Živi	Zivi
želju	ZELu
Company	compEni
Društva	druStvE
Engleska	ENglEskE
Franjo	fra5o
Njihovo	5ihovo
Skupštine	skupStinE
Volkswagen	volksvEgEn
West	vEst
arhitekturi	orhitEkturi
autoritet	autoritEt
crvenom	crvEnom
dobrom	dobrom
dolinu	dolinu
dominiraju	dominiroyu
dostiže	dostiZE
dugu	dugu
dvostruki	dvostruki
fronta	frontE
invaziju	invEziyu
isprva	isprvE
javnim	yavnim
jedinstveni	yedinstvEni
jednostavan	yednostEvEn
kilometra	kilomEtrE
kćerkom	kCErkom
materijali	matEriyEli
međunarodnom	mEjunorodnom
mornarice	mornoricE
mrtav	mrtav
musculus	musculus
namijenjen	namiye5en
napustila	napustilE
napustili	napustili
narednim	norEdnim
nastanak	nastEnEk
nastavka	nastEfkE
nebu	nEbu
novinar	novinor
obnove	obnovE
onom	onom
orbite	orbitE
osigurati	osigurEti
otvori	otvori
parenja	porE5E
pobjedi	pobyedi
ponovnog	ponovnog
posljednjim	posLed5im
poteškoća	potESkoCE
poteškoće	potESkoCE
potpisan	potpisEn
potpunu	potpunu
pozorištu	pozoriStu
pravoslavne	pravoslEvnE
preživjeli	prEZivyeli
pridružuje	pridruZuye
prikazane	prikEzEnE
procjena	procyenE
provode	provodE
publiku	publiku
rastvor	rastvor
razvijene	razviyenE
rođenju	rojE5u
runde	rundE
samostan	samostEn
samu	samu
shvatio	shvatio
slojevima	sloyevimE
složene	sloZEnE
smanjena	sma5enE
smanjio	sma5io
spreman	sprEmEn
sugeriraju	sugEriroyu
takmiči	takmiCi
udar	udor
umjetnički	umyetniCki
uslijedila	usliyedilE
uslijedio	usliyedio
usporedbi	usporEdbi
učenik	uCEnik
važi	vaZi
zadržala	zadrZElE
zakonima	zakonimE
željeznice	ZELeznicE
Alija	aliyE
Edward	Edvord
Ekipe	EkipE
Hanibal	xanibEl
Jevreja	yevreyE
Mladi	mladi
Najveće	noyvECE
Njeno	5eno
Pokémoni	pokemoni
Skupština	skupStinE
Turskoj	turskoy
Williams	villiEms
Zenici	zEnici
alela	alElE
brodovi	brodovi
dobiju	dobiyu
dobile	dobilE
dogodio	dogodio
dozvoljava	dozvoLEvE
ekspedicija	EkspEdiciyE
formu	formu
gradnju	grad5u
izabrao	izEbrEo
izgledaju	izglEdoyu
izgledu	izglEdu
jedinstvenu	yedinstvEnu
jela	yelE
jetre	yetrE
klubovima	klubovimE
književni	k5iZEvni
komande	komEndE
krovom	krovom
leže	lEZE
magazina	magEzinE
mlađih	mlajih
napravljene	naprEvlyenE
naseljima	nasELimE
naučnog	nauCnog
nizom	nizom
niža	niZE
odgovorna	odgovornE
odražava	odrEZEvE
odvijaju	odviyoyu
padne	padnE
podjelu	podyelu
pogleda	poglEdE
porijeklu	poriyeklu
poruke	porukE
postaviti	postEviti
postavljaju	postEvlyoyu
postignut	postignut
povlačenja	povlECE5E
prepoznaje	prEpoznoye
pripadao	pripEdEo
prstenova	prstEnovE
ramena	ramEnE
ratnog	ratnog
redove	rEdovE
sagrađen	sagrEjEn
sjedišta	syediStE
sjeveroistoku	syevEroistoku
srednja	srEd5E
stranici	stranici
sukobi	sukobi
tekstove	tEkstovE
uglom	uglom
ujedinjenja	uyedi5e5E
ukloniti	ukloniti
upale	upElE
uvjete	uvyetE
uzorak	uzorEk
zadnjem	zad5em
zaustaviti	zaustEviti
zvali	zvali
široku	Siroku
ženi	ZEni
Albanije	albEniye
Ferdinand	fErdinEnd
Hrvatski	xrvatski
Maria	moriE
Milana	milEnE
Ministarstva	ministorstvE
NK	n3k3
Q	kv3
Ross	ross
Većinu	vECinu
XIV	rimsko CEtrnast
aktivnostima	aktivnostimE
alkohola	alkoholE
antigena	antigEnE
brzi	brzi
cvijeta	cviyetE
daljnje	daL5e
datoteka	datotEkE
dodaju	dodoyu
dozvolu	dozvolu
dugih	dugih
filmom	filmom
filmske	filmskE
građanski	grajEnski
izlaz	izlEz
jedinstvo	yedinstvo
karakterizira	korEktErizirE
koraka	korEkE
kosu	kosu
likovima	likovimE
mač	maC
mjesecima	myesEcimE
mlada	mladE
naboja	naboyE
najvećom	noyvECom
narodnih	norodnih
nazvane	nazvEnE
nebo	nEbo
nokaut	nokEut
obaveza	obEvEzE
objasnio	obyEsnio
odbili	odbili
odjeljenja	odyeLe5E
označen	oznECEn
pisca	piscE
pića	piCE
podigao	podigEo
pokuša	pokuSE
porodicama	porodicEmE
posebnom	posEbnom
posjeda	posyedE
posjetio	posyetio
pozitivan	pozitivEn
prethodnog	prEthodnog
pune	punE
razvijati	razviyEti
reakciji	rEEkciyi
regionalne	rEgionElnE
rude	rudE
samoj	samoy
smještaj	smyeStoy
stručnih	struCnih
sultana	sultEnE
tehniku	tEhniku
teški	tESki
tkivima	tkivimE
ulje	uLe
uništiti	uniStiti
učešća	uCESCE
vidljive	vidLivE
zgradi	zgradi
zračne	zraCnE
čuo	Cuo
širokom	Sirokom
životinjskih	Zivoti5skih
Centralni	cEntrElni
Crni	crni
Danske	danskE
EP	Ep
Evropskog	Evropskog
Grčkoj	grCkoy
My	mi
Nedostatak	nEdostEtEk
Pobjednik	pobyednik
R	r3
Sir	sir
Svako	svako
Tesla	tEslE
biološke	bioloSkE
direktnim	dirEktnim
dodatna	dodEtnE
dokumentima	dokumEntimE
dostignuća	dostignuCE
drvene	drvEnE
grupne	grupnE
helikoptera	xElikoptErE
hiljadu	xiLEdu
historičar	xistoriCor
jači	yaCi
kasniji	kasniyi
kategoriju	katEgoriyu
klasu	klasu
kraljevi	kraLevi
krilima	krilimE
kulturnog	kulturnog
kućama	kuCEmE
loš	loS
maraka	morEkE
matične	matiCnE
naveo	navEo
neurona	nEuronE
nišan	niSEn
obradu	obrEdu
odobrenje	odobrE5e
odreda	odrEdE
okolnim	okolnim
operativni	opErEtivni
pacijent	paciyent
porastao	porEstEo
posjede	posyedE
posjećuje	posyeCuye
postigla	postiglE
praćenje	praCE5e
preuzme	prEuzmE
pređe	prEjE
prijateljstvo	priyEtELstvo
princeza	princEzE
pripadala	pripEdElE
prirodna	prirodnE
proizvedeno	proizvEdEno
proširiti	proSiriti
puna	punE
ranijih	raniyih
rođendan	rojEndEn
sekunde	sEkundE
spajanja	spoyE5E
stekla	stEklE
studenti	studEnti
svijest	sviyest
tajni	toyni
transkripcije	transkripciye
tretmana	trEtmEnE
troškove	troSkovE
ubica	ubicE
uspostavljena	uspostEvlyenE
ustava	ustEvE
uzorka	uzorkE
vijest	viyest
vjetar	vyetor
volumen	volumEn
značajni	znaCoyni
zvani	zvani
česte	CEstE
čineći	CinECi
čuje	Cuye
Akademija	akEdEmiyE
Evropska	EvropskE
Grčka	grCka
Indije	indiye
Katarina	katorinE
Osmanlija	osmEnliyE
RTV	r3t3v3
Sjeverni	syevErni
Slika	slikE
Windowsa	vindofsE
Zanimljivo	zanimLivo
bana	banE
brodu	brodu
detaljno	dEtELno
diplomirao	diplomirEo
djetinjstvu	dyeti5stvu
dokazano	dokEzEno
govoreći	govorECi
gradonačelnika	gradonECElnikE
hromosom	xromosom
ispada	ispEdE
izgrađeni	izgrEjEni
juga	yugE
kanali	kanEli
kontaktu	kontEktu
kupiti	kupiti
likove	likovE
logoru	logoru
mediji	mEdiyi
mesa	mEsE
mreži	mrEZi
najuspješnijih	noyuspyeSniyih
narodni	norodni
nastoji	nastoyi
naučna	nauCnE
nedovoljno	nEdovoLno
odgovarajućim	odgovoroyuCim
otići	otiCi
označena	oznECEnE
pisanju	pisE5u
pisci	pisci
ploči	ploCi
plus	plus
pobijedili	pobiyedili
pojasa	poyEsE
pojedinačni	poyedinECni
pokreti	pokrEti
poljski	poLski
poruka	porukE
povećane	povECEnE
prilog	prilog
procjenu	procyenu
proljeća	proLeCE
prošlo	proSlo
raspolaganju	raspolEgE5u
regionu	rEgionu
rijetka	riyetkE
sinonim	sinonim
skraćeno	skraCEno
skulpture	skulpturE
sljedećeg	sLedECEg
spasiti	spasiti
spot	spot
svima	svimE
svirati	svirEti
troškova	troSkovE
unaprijed	unEpriyed
uzme	uzmE
ušli	uSli
vladala	vladElE
vrijednostima	vriyednostimE
zadnjeg	zad5eg
zasluge	zaslugE
zavise	zavisE
četvrta	CEtvrtE
šupljine	SupLinE
željeli	ZELeli
žuta	ZutE
Aktivna	aktivnE
Australije	austrEliye
Black	black
Dubrovnik	dubrovnik
Hrvatsku	xrvatsku
Kraljica	kraLicE
Live	livE
Mjesec	myesEc
Nešto	nESto
Objekat	obyekEt
Tuzla	tuzlE
Tvrtko	tvrtko
Williama	villiEmE
Yorka	yorkE
autonomiju	autonomiyu
bivših	bifSih
centralna	cEntrElnE
cvijet	cviyet
cvjetova	cvyetovE
desnu	dEsnu
ekonomskog	Ekonomskog
filozofiju	filozofiyu
hemijskim	xEmiyskim
historičara	xistoriCorE
jug	yug
karakteristikama	korEktEristikEmE
lokalna	lokElnE
međunarodno	mEjunorodno
mišićima	miSiCimE
mnogobrojne	mnogobroynE
moderna	modErnE
napisana	napisEnE
obalama	obElEmE
objektima	obyektimE
obuhvataju	obuhvEtoyu
odlučeno	odluCEno
osnovnim	osnovnim
ostvarenja	ostvorE5E
područjem	podruCyem
ponaša	ponESE
poretku	porEtku
posvećena	posvECEnE
potencijalno	potEnciyElno
početni	poCEtni
predaju	prEdoyu
predviđa	prEdvijE
prikazivanja	prikEzivE5E
primarno	primorno
primijetio	primiyetio
privatni	privEtni
psa	psa
sagradio	sagrEdio
saveznika	savEznikE
specifični	spEcifiCni
spomenici	spomEnici
stabilna	stabilnE
sunce	suncE
tradicionalni	tradicionElni
trajalo	troyElo
trgovački	trgovECki
trideset	tridEsEt
tvore	tvorE
učini	uCini
učinila	uCinilE
vodenih	vodEnih
zajednička	zoyedniCkE
zapad	zapEd
čitavu	CitEvu
čvora	CvorE
Balkanu	balkEnu
Blue	bluE
Booth	booth
Francuzi	francuzi
Istočna	istoCnE
Koristeći	koristECi
Mariju	moriyu
Najčešći	noyCESCi
Predsjedništva	prEtsyedniStvE
Queen	kvEEn
Saša	saSE
Sedam	sEdEm
Ustava	ustEvE
Velikom	vElikom
aktivne	aktivnE
aktivnog	aktivnog
američkom	amEriCkom
cjelinu	cyelinu
crvenih	crvEnih
današnjem	danES5em
datiraju	datiroyu
dob	dob
dodao	dodEo
duha	duhE
finansijske	finEnsiyskE
generalni	gEnErElni
igračima	igrECimE
ispoljavaju	ispoLEvoyu
istaknuti	istEknuti
italijanskog	itEliyEnskog
izvedene	izvEdEnE
izvođenje	izvojE5e
jezgru	yezgru
katoličke	katoliCkE
krajnje	kroy5e
kulturama	kulturEmE
leđima	lEjimE
ljiljan	LiLEn
migracije	migrEciye
morskih	morskih
navedeno	navEdEno
neprestano	nEprEstEno
nezavisni	nEzEvisni
nizak	nizEk
nuklearne	nuklEornE
oslanja	oslE5E
oslobođenja	oslobojE5E
otkaz	otkEz
otvorenog	otvorEnog
potomaka	potomEkE
potrebi	potrEbi
povećala	povECElE
praksa	praksE
pravde	pravdE
produkcije	produkciye
protona	protonE
prototip	prototip
prošle	proSlE
puca	pucE
reagiraju	rEEgiroyu
rezerve	rEzErvE
rok	rok
sastanku	sastENku
slave	slavE
sluha	sluhE
snijega	sniyegE
sobe	sobE
specijalne	spEciyElnE
spušta	spuStE
starija	storiyE
stavio	stavio
stranci	stranci
stvorila	stvorilE
testiranje	tEstirE5e
tražeći	traZECi
uopšte	uopStE
uvođenja	uvojE5E
uđe	ujE
vezanje	vEzE5e
zaključio	zakLuCio
zauzvrat	zauzvrEt
želje	ZELe
Američke	amEriCkE
Brazila	brazilE
Del	dEl
Donje	do5e
Drugom	drugom
Festival	fEstivEl
Kuća	kuCE
M	m3
Mars	mors
Ovakav	ovEkEv
P	p3
Roberta	robErtE
Važno	vaZno
Velsa	vElsE
Wilson	vilson
bioloških	bioloSkih
blokova	blokovE
brojeve	broyevE
buduće	buduCE
civilizacija	civilizEciyE
crkava	crkavE
disciplini	disciplini
događaju	dogEjoyu
dvorani	dvorEni
firmi	firmi
grčkom	grCkom
hotel	xotEl
hranom	xranom
ispitivanje	ispitivE5e
izbio	izbio
izgubiti	izgubiti
izradi	izrEdi
ključni	kLuCni
kom	kom
manjina	ma5inE
mlijeka	mliyekE
niska	niskE
obavljati	obEvlyEti
obrazac	obrEzEc
osmanlijske	osmEnliyskE
oznakom	oznEkom
partnera	portnErE
pažljivo	paZLivo
pokreću	pokrECu
političko	politiCko
posebnih	posEbnih
poslu	poslu
postupka	postupkE
prakse	praksE
pregovora	prEgovorE
preuzimanja	prEuzimE5E
preživio	prEZivio
primijeniti	primiyeniti
principa	principE
prostate	prostEtE
reakcijama	rEEkciyEmE
sekundarne	sEkundornE
slavi	slavi
spratu	spratu
stećcima	stECcimE
studijama	studiyEmE
studio	studio
trajati	troyEti
tražili	traZili
turizam	turizEm
unija	uniyE
unutra	unutrE
učitelj	uCitEL
vani	vani
varirati	vorirEti
visoravni	visorEvni
volumena	volumEnE
činjenici	Ci5enici
želuca	ZElucE
ženom	ZEnom
Albert	albErt
Argentina	orgEntinE
F	f3
Instituta	institutE
Japan	yapEn
Kraljevstva	kraLefstvE
Marsa	morsE
Muhammed	muhEmmEd
Regija	rEgiyE
Stone	stonE
Svjetlost	svyetlost
Upotreba	upotrEbE
bogovi	bogovi
bočnim	boCnim
brani	brani
brdu	brdu
carske	corskE
definiše	dEfiniSE
dogovor	dogovor
groblja	grobLE
gustoće	gustoCE
kasno	kasno
keramike	kErEmikE
klasifikacije	klasifikEciye
kraljevska	kraLefskE
krene	krEnE
moguć	moguC
najuspješniji	noyuspyeSniyi
napisala	napisElE
narodna	norodnE
nauku	nauku
nazivi	nazivi
odlučuju	odluCuyu
okružuju	okruZuyu
omogućavajući	omoguCEvoyuCi
opera	opErE
opisano	opisEno
oruđa	orujE
oslobodi	oslobodi
otišla	otiSlE
otkrije	otkriye
partiju	portiyu
plod	plod
poginulih	poginulih
ponašanju	ponESE5u
posle	poslE
povući	povuCi
prečnika	prECnikE
prijevoz	priyevoz
prikaza	prikEzE
pronađeno	pronEjEno
sinom	sinom
smeđe	smEjE
spolnih	spolnih
statusa	statusE
stubova	stubovE
takvu	takvu
trgovci	trgofci
ulazu	ulEzu
uslov	uslov
uspjehe	uspyehE
uzrokujući	uzrokuyuCi
vjerovali	vyerovEli
vojnicima	voynicimE
završilo	zavrSilo
česti	CEsti
čete	CEtE
čula	CulE
ženska	ZEnskE
župe	ZupE
Filipa	filipE
Han	xan
Igrao	igrEo
Jakov	yakov
Jamesa	yamEsE
Jedino	yedino
Johann	yohEnn
Kraj	kroy
Kraljevstvo	kraLefstvo
Kula	kulE
Maja	moyE
Nacionalne	nacionElnE
Pu	pu
Unije	uniye
White	fhitE
Zemljine	zEmLinE
Zvornik	zvornik
bih	bih
bijelom	biyelom
bombe	bombE
britanska	britEnskE
detalji	dEtELi
dobiva	dobivE
dvorana	dvorEnE
dvostruke	dvostrukE
formiranju	formirE5u
gasova	gasovE
industrijske	industriyskE
izgubi	izgubi
izmjena	izmyenE
jedanaest	yedEnEEst
kasnog	kasnog
konferenciji	konfErEnciyi
krenuli	krEnuli
litara	litorE
mehanizmi	mEhEnizmi
memorije	mEmoriye
modernom	modErnom
moj	moy
nadzor	najor
napisan	napisEn
napuštaju	napuStoyu
nauci	nauci
načinom	naCinom
neba	nEbE
neprekidno	nEprEkidno
neprijatelj	nEpriyEtEL
nogometnih	nogomEtnih
normalnog	normElnog
novinara	novinorE
obitelji	obitELi
ogleda	oglEdE
ograničeni	ogrEniCEni
okean	okEEn
ozbiljne	ozbiLnE
ozljede	ozLedE
parka	porkE
plemstvo	plEmstvo
posebnog	posEbnog
posmatra	posmEtrE
postavljanje	postEvlyE5e
postrojenja	postroye5E
povećan	povECEn
pošte	poStE
predmetima	prEdmEtimE
preduzeće	prEduzECE
pregovore	prEgovorE
primijetiti	primiyetiti
pritisku	pritisku
prodao	prodEo
programe	progrEmE
proizvodnjom	proizvod5om
ratovi	ratovi
razmjenu	razmyenu
rezultirati	rEzultirEti
rimska	rimskE
sahranjen	sahrE5en
silama	silEmE
smanjila	sma5ilE
sobnoj	sobnoy
spomen	spomEn
srčanog	srCanog
sultan	sultEn
svijetom	sviyetom
tehnici	tEhnici
tehnologiju	tEhnologiyu
tvrđavu	tvrjavu
ugrađen	ugrEjEn
upisao	upisEo
ustanove	ustEnovE
višak	viSEk
vjenčanja	vyenCE5E
završetak	zavrSEtEk
časopisu	Casopisu
školovanja	SkolovE5E
štaba	StabE
Boja	boyE
Bosanske	bosEnskE
Brian	briEn
CO	co
Crvena	crvEnE
Imala	imElE
In	in
Josipa	yosipE
King	kiNg
Ligi	ligi
Mike	mikE
Možda	moZdE
Nekada	nEkEdE
Organizacija	orgEnizEciyE
Rusiju	rusiyu
Veliku	vEliku
Vjeruje	vyeruye
Watson	vatson
aparat	aporEt
atmosferi	atmosfEri
atomi	atomi
bogat	bogEt
carstvu	corstvu
centri	cEntri
date	datE
davao	davEo
des	dEs
dvorca	dvorcE
g	g3
gitarista	gitoristE
hemijska	xEmiyskE
historijska	xistoriyskE
hladne	xladnE
hrvatska	xrvatskE
infekcija	infEkciyE
intenzitet	intEnzitEt
istraživača	istrEZivECE
izražaja	izrEZoyE
jednostavni	yednostEvni
jednostavnim	yednostEvnim
karijera	koriyerE
kilograma	kilogrEmE
klasi	klasi
ključnih	kLuCnih
luku	luku
materijale	matEriyElE
mitraljeza	mitrELezE
najvažnije	noyvEZniye
nađeni	najEni
niskog	niskog
nivoi	nivoi
obični	obiCni
obnovi	obnovi
odlazak	odlEzEk
opseg	opsEg
općim	opCim
osloboditi	osloboditi
osnovno	osnovno
pete	pEtE
pokrivena	pokrivEnE
populaciju	populEciyu
poredak	porEdEk
poslan	poslEn
površinama	povrSinEmE
preminuo	prEminuo
pridruži	pridruZi
prijeti	priyeti
pripadnosti	pripEdnosti
režnja	rEZ5E
ruskih	ruskih
savjet	savyet
sačuvana	saCuvEnE
silu	silu
sintezu	sintEzu
skulptura	skulpturE
sljedećim	sLedECim
snimila	snimilE
sovjetski	sovyetski
sumnja	sum5E
susret	susrEt
susreta	susrEtE
tačan	taCEn
temperaturom	tEmpErEturom
trougla	troglE
ubraja	ubroyE
ugljik	ugLik
uobičajene	uobiCoyenE
utočište	utoCiStE
uvjeti	uvyeti
vidljivo	vidLivo
zadrži	zadrZi
zarobljen	zorobLen
zatvara	zatvorE
znakove	znakovE
zvana	zvanE
školske	SkolskE
Američkih	amEriCkih
Arthur	orthur
Berlinu	bErlinu
CD	c3d3
Centralna	cEntrElnE
Charlie	chorliE
Drugu	drugu
Filozofskom	filozofskom
Gazi	gazi
Hrvatskog	xrvatskog
Ideja	ideyE
Joseph	yosEph
Ko	ko
Little	littlE
Monte	montE
Nažalost	naZElost
Parlament	porlEmEnt
Poput	poput
SP	s3p3
Sjedište	syediStE
Turska	turskE
UK	uk
Vjerovatno	vyerovEtno
administrativno	administrEtivno
branio	branio
bratom	bratom
brz	brz
centrima	cEntrimE
crvenu	crvEnu
desna	dEsnE
dijagnoze	diyEgnozE
dinara	dinorE
donijeli	doniyeli
efekta	EfEktE
eksplozije	Eksploziye
elektron	ElEktron
engl	ENgl
fabrika	fabrikE
gitare	gitorE
glasanja	glasE5E
ishrane	ishrEnE
istinu	istinu
javna	yavnE
jugoistoku	yugoistoku
kampanju	kampE5u
klinički	kliniCki
konjanika	ko5EnikE
korisno	korisno
koži	koZi
kretati	krEtEti
latinski	latinski
lijeva	liyevE
lov	lov
lovca	lofcE
mehanički	mEhEniCki
najznačajniji	noyznECoyniyi
napravljeni	naprEvlyeni
našem	naSEm
normalan	normElEn
obrazovanju	obrEzovE5u
odigrana	odigrEnE
opisana	opisEnE
orkestar	orkEstor
osnovala	osnovElE
očeve	oCEvE
pauze	pauzE
plemstva	plEmstvE
plijena	pliyenE
pojedinaca	poyedinEcE
pomoćnika	pomoCnikE
potrebama	potrEbEmE
potvrđeno	potvrjEno
potvrđuju	potvrjuyu
pregleda	prEglEdE
preživjeti	prEZivyeti
prikazati	prikEzEti
privreda	privrEdE
pružiti	pruZiti
punu	punu
ranjen	ra5en
ritam	ritEm
siromaštva	siromEStvE
smisao	smisEo
specifičnih	spEcifiCnih
suštini	suStini
tekstovi	tEkstovi
treću	trECu
trgovini	trgovini
uobičajeni	uobiCoyeni
uređaji	urEjoyi
usne	usnE
vidjela	vidyelE
viša	viSE
vjerski	vyerski
volje	voLe
zbirku	zbirku
čiste	CistE
španske	SpanskE
štab	Stab
šumi	Sumi
Angelesa	aNgElEsE
Chaplin	chaplin
Drine	drinE
Inače	inECE
Južnog	yuZnog
Mada	madE
Prvih	prvih
SSSR	sssr
School	school
Scott	scott
Spisak	spisEk
Sud	sud
United	unitEd
Zadnji	zad5i
akademiju	akEdEmiyu
arapskih	orEpskih
biračkih	birECkih
brine	brinE
brze	brzE
centimetara	cEntimEtorE
ceremonije	cErEmoniye
desila	dEsilE
detalja	dEtELE
dobu	dobu
dodavanjem	dodEvE5em
domaćinstava	domECinstEvE
društvena	druStvEnE
ef	Ef
emisija	EmisiyE
energetski	EnErgEtski
engleske	ENglEskE
fizičkih	fiziCkih
formula	formulE
frekvencija	frEkvEnciyE
genetičke	gEnEtiCkE
intenzivno	intEnzivno
izdvaja	izdvoyE
izrađen	izrEjEn
jajnika	yoynikE
kojega	koyegE
kontinenta	kontinEntE
kostima	kostimE
letjelice	lEtyelicE
liganda	ligEndE
modernim	modErnim
motivima	motivimE
najmanja	noymE5E
najstarije	noystoriye
nosača	nosECE
novčanica	nofCEnicE
održala	odrZElE
odvojeni	odvoyeni
okoliša	okoliSE
okružuje	okruZuye
oksid	oksid
ose	osE
osoblje	osobLe
osvajanjem	osvoyE5em
ovakve	ovEkvE
ovome	ovomE
paru	poru
plinova	plinovE
pojavile	poyEvilE
potok	potok
preživljavanje	prEZivlyEvE5e
prihvatila	prihvEtilE
prihvaćena	prihvECEnE
primiti	primiti
promociju	promociyu
radnja	rad5E
rasa	rasE
razgovor	razgovor
različitog	razliCitog
rekorda	rEkordE
roka	rokE
satima	satimE
savladao	savlEdEo
seksualnog	sEksuElnog
sestara	sEstorE
shvatiti	shvatiti
sindromom	sindromom
sljedećem	sLedECEm
slojevi	sloyevi
smiju	smiyu
stabilan	stabilEn
stijenama	stiyenEmE
stuba	stubE
suprug	suprug
tehničke	tEhniCkE
traju	troyu
ubrajaju	ubroyoyu
udruženje	udruZE5e
ulicama	ulicEmE
uništava	uniStEvE
unos	unos
upravljao	uprEvlyEo
uputio	uputio
uspjehom	uspyehom
ustima	ustimE
usvojen	usvoyen
vanjsku	va5sku
varijable	voriyEblE
vidljiva	vidLivE
vladavinu	vladEvinu
voz	voz
zaliv	zaliv
zanimanje	zanimE5e
zauzeti	zauzEti
ću	Cu
članstvo	Clanstvo
šalju	SaLu
šoka	SokE
živote	ZivotE
Bihać	bihEC
Eduard	Eduord
Hitler	xitlEr
Istočne	istoCnE
Kup	kup
Manje	ma5e
Mastersu	mastErsu
Mount	mont
Njemački	5emECki
Odnos	odnos
Ostrvo	ostrvo
Ovom	ovom
Papa	papE
Pavla	pavlE
Poljskoj	poLskoy
Sjedinjene	syedi5enE
Voldemort	voldEmort
Washington	vashiNkton
Zapravo	zaprEvo
aktivnih	aktivnih
atmosferu	atmosfEru
bitci	bitci
bogati	bogEti
dizajnirao	dizoynirEo
dogodila	dogodilE
ekrana	EkrEnE
finansija	finEnsiyE
gimnaziju	gimnEziyu
građena	grajEnE
grobova	grobovE
imovine	imovinE
inteligencije	intEligEnciye
ioni	ioni
jedinstvene	yedinstvEnE
južnog	yuZnog
kanalu	kanElu
karakterističan	korEktEristiCEn
karakteristične	korEktEristiCnE
košarci	koSorci
kratak	kratEk
kritičar	kritiCor
krvne	krvnE
listovima	listovimE
lošeg	loSEg
maksimalno	maksimElno
metabolizma	mEtEbolizmE
međunarodna	mEjunorodnE
modele	modElE
napon	napon
narodima	norodimE
nestao	nEstEo
nikakav	nikEkEv
nominiran	nominirEn
obrađuje	obrEjuye
odlukom	odlukom
odvodi	odvodi
onome	onomE
optički	optiCki
organizacijama	orgEnizEciyEmE
ovako	ovEko
parku	porku
perzijske	pErziyskE
ploda	plodE
pobjegne	pobyegnE
podignut	podignut
podjednako	podyednEko
pol	pol
pomoćnik	pomoCnik
potpredsjednika	potprEtsyednikE
poznatiji	poznEtiyi
početne	poCEtnE
prateći	pratECi
predstavljalo	prEtstEvlyElo
predstavljati	prEtstEvlyEti
prelaska	prElEskE
prepreka	prEprEkE
pretvoriti	prEtvoriti
pritoke	pritokE
proizlazi	proizlEzi
prošla	proSlE
